2.8264  MSE 26360.6113, SSIM 0.0101
160 1035.8624  MSE 20105.4941, SSIM 0.0035
170 1035.8624  MSE 20028.7812, SSIM 0.0157
180 1035.8624  MSE 19920.4268, SSIM 0.0215
190 1035.8624  MSE 20622.8887, SSIM 0.0159
0 100.8963  MSE 27581.5674, SSIM -0.0018
10 350.9043  MSE 28690.6738, SSIM -0.0107
20 350.9043  MSE 28690.6738, SSIM -0.0107
30 350.9043  MSE 28690.6738, SSIM -0.0107
40 350.9043  MSE 28690.6738, SSIM -0.0107
50 350.9043  MSE 28690.6738, SSIM -0.0107
60 350.9043  MSE 28690.6738, SSIM -0.0107
70 350.9043  MSE 28690.6738, SSIM -0.0107
80 350.9043  MSE 28690.6738, SSIM -0.0107
90 350.9043  MSE 28690.6738, SSIM -0.0107
100 350.9043  MSE 28690.6738, SSIM -0.0107
110 350.9043  MSE 28690.6738, SSIM -0.0107
120 350.9043  MSE 28690.6738, SSIM -0.0107
130 350.9043  MSE 28690.6738, SSIM -0.0107
140 350.9043  MSE 28690.6738, SSIM -0.0107
150 350.9043  MSE 28690.6738, SSIM -0.0107
160 350.9043  MSE 28690.6738, SSIM -0.0107
170 350.9043  MSE 28690.6738, SSIM -0.0107
180 350.9043  MSE 28690.6738, SSIM -0.0107
190 350.9043  MSE 28690.6738, SSIM -0.0107
0 232.4153  MSE 27947.2041, SSIM 0.0127
10 150.9210  MSE 27320.2188, SSIM 0.0107
20 147.3885  MSE 26203.9229, SSIM 0.0222
30 145.7792  MSE 28507.5713, SSIM 0.0127
40 144.8816  MSE 27859.2510, SSIM 0.0109
50 144.3314  MSE 27776.4326, SSIM 0.0216
60 143.8839  MSE 27774.6738, SSIM 0.0022
70 143.5144  MSE 27217.3242, SSIM 0.0223
80 143.2430  MSE 27292.6406, SSIM 0.0227
90 142.9196  MSE 27145.0068, SSIM 0.0126
100 142.6764  MSE 28634.0186, SSIM 0.0084
110 142.4415  MSE 27715.7363, SSIM 0.0098
120 142.2566  MSE 27997.5410, SSIM -0.0062
130 142.0991  MSE 27713.5537, SSIM 0.0016
140 141.9061  MSE 27193.3096, SSIM 0.0067
150 141.7721  MSE 27771.7969, SSIM 0.0104
160 141.6546  MSE 28154.7100, SSIM 0.0104
170 141.5516  MSE 28529.7109, SSIM 0.0035
180 141.4021  MSE 27538.5928, SSIM 0.0194
190 141.2779  MSE 27447.6885, SSIM 0.0011
0 6.4881  MSE 20262.8867, SSIM 0.0112
10 1.2720  MSE 21188.1299, SSIM 0.0045
20 488.2498  MSE 20697.8330, SSIM 0.0187
30 488.2498  MSE 20697.8330, SSIM 0.0187
40 488.2498  MSE 20697.8330, SSIM 0.0187
50 488.2498  MSE 20697.8330, SSIM 0.0187
60 488.2498  MSE 20697.8330, SSIM 0.0187
70 488.2498  MSE 20697.8330, SSIM 0.0187
80 488.2498  MSE 20697.8330, SSIM 0.0187
90 488.2498  MSE 20697.8330, SSIM 0.0187
100 488.2498  MSE 20697.8330, SSIM 0.0187
110 488.2498  MSE 20697.8330, SSIM 0.0187
120 488.2498  MSE 20697.8330, SSIM 0.0187
130 488.2498  MSE 20697.8330, SSIM 0.0187
140 488.2498  MSE 20697.8330, SSIM 0.0187
150 488.2498  MSE 20697.8330, SSIM 0.0187
160 488.2498  MSE 20697.8330, SSIM 0.0187
170 488.2498  MSE 20697.8330, SSIM 0.0187
180 488.2498  MSE 20697.8330, SSIM 0.0187
190 488.2498  MSE 20697.8330, SSIM 0.0187
0 170.1669  MSE 21591.6191, SSIM -0.0087
10 173.9116  MSE 20471.3535, SSIM 0.0163
20 173.9092  MSE 20440.9346, SSIM 0.0276
30 173.9091  MSE 20806.0400, SSIM 0.0111
40 173.9091  MSE 20827.3828, SSIM 0.0023
50 173.9091  MSE 21336.6914, SSIM -0.0149
60 173.9091  MSE 21450.5762, SSIM 0.0095
70 173.9092  MSE 20539.0586, SSIM 0.0123
80 173.9090  MSE 20462.2441, SSIM 0.0242
90 173.9091  MSE 20408.9258, SSIM 0.0071
100 173.9098  MSE 21043.0381, SSIM -0.0047
110 173.9091  MSE 20626.7197, SSIM 0.0094
120 173.9091  MSE 20183.5654, SSIM 0.0208
130 173.9093  MSE 20393.1836, SSIM 0.0092
140 173.9091  MSE 20696.7188, SSIM 0.0026
150 30986810253.0490  MSE 20291.3369, SSIM 0.0053
160 30986810253.0490  MSE 20291.3369, SSIM 0.0053
170 30986810253.0490  MSE 20291.3369, SSIM 0.0053
180 30986810253.0490  MSE 20291.3369, SSIM 0.0053
190 30986810253.0490  MSE 20291.3369, SSIM 0.0053
0 325.6326  MSE 25176.0166, SSIM 0.0171
10 37.3065  MSE 25435.3340, SSIM 0.0126
20 8.8708  MSE 26014.0137, SSIM -0.0126
30 3.1737  MSE 26022.2773, SSIM 0.0223
40 1.3097  MSE 25358.3496, SSIM 0.0215
50 0.4371  MSE 23999.5156, SSIM 0.0509
60 0.1687  MSE 22641.6738, SSIM 0.0694
70 0.0793  MSE 20124.4111, SSIM 0.1457
80 0.0419  MSE 18888.1289, SSIM 0.1511
90 0.0247  MSE 17372.9385, SSIM 0.2004
100 0.0147  MSE 15554.9814, SSIM 0.2567
110 0.0091  MSE 13127.2480, SSIM 0.3338
120 0.0060  MSE 11768.9375, SSIM 0.3931
130 0.0041  MSE 9943.8857, SSIM 0.4605
140 0.0029  MSE 8552.7842, SSIM 0.5342
150 0.0020  MSE 7372.0566, SSIM 0.5928
160 0.0014  MSE 6037.8564, SSIM 0.6538
170 0.0010  MSE 4743.7871, SSIM 0.7095
180 0.0008  MSE 4145.5332, SSIM 0.7371
190 0.0006  MSE 3654.9258, SSIM 0.7663
0 413.4501  MSE 26385.2705, SSIM -0.0145
10 167.0841  MSE 25188.9551, SSIM 0.0172
20 155.0871  MSE 25488.6230, SSIM 0.0278
30 151.1711  MSE 25688.7607, SSIM -0.0013
40 148.3778  MSE 25324.2305, SSIM 0.0136
50 146.8582  MSE 25976.9883, SSIM 0.0093
60 145.6112  MSE 25903.2812, SSIM -0.0094
70 144.4407  MSE 26110.9629, SSIM 0.0072
80 143.8055  MSE 25337.2500, SSIM 0.0173
90 143.2672  MSE 26314.9688, SSIM -0.0052
100 142.8208  MSE 25648.5869, SSIM 0.0177
110 142.5307  MSE 26559.8105, SSIM -0.0138
120 142.2942  MSE 24432.3545, SSIM 0.0373
130 142.0845  MSE 26288.4824, SSIM -0.0139
140 141.8832  MSE 25423.6816, SSIM 0.0107
150 141.6626  MSE 25898.4863, SSIM -0.0140
160 141.5159  MSE 25791.5215, SSIM 0.0197
170 141.3834  MSE 24540.6338, SSIM 0.0218
180 141.2285  MSE 25121.7891, SSIM 0.0211
190 141.1062  MSE 26201.7695, SSIM 0.0101
0 48.6164  MSE 26981.4541, SSIM 0.0026
10 8.5610  MSE 27351.6045, SSIM 0.0046
20 4.3433  MSE 27156.2930, SSIM 0.0131
30 2.5905  MSE 26862.2939, SSIM 0.0122
40 1.4361  MSE 27003.4102, SSIM 0.0174
50 0.9219  MSE 26741.4590, SSIM 0.0227
60 0.6119  MSE 26730.7949, SSIM 0.0310
70 0.2178  MSE 26491.6689, SSIM 0.0398
80 0.0855  MSE 24760.0967, SSIM 0.0322
90 0.0374  MSE 23020.4258, SSIM 0.0862
100 0.0199  MSE 20381.6338, SSIM 0.1356
110 0.0110  MSE 18169.0684, SSIM 0.1731
120 0.0067  MSE 15489.0693, SSIM 0.2369
130 0.0040  MSE 12909.8281, SSIM 0.3078
140 0.0025  MSE 10741.2031, SSIM 0.3845
150 0.0016  MSE 9149.4814, SSIM 0.4493
160 0.0011  MSE 7154.9414, SSIM 0.5490
170 0.0007  MSE 5977.2051, SSIM 0.6219
180 0.0005  MSE 5332.4277, SSIM 0.6585
190 0.0004  MSE 4433.4170, SSIM 0.7165
0 596.1357  MSE 27178.2305, SSIM 0.0012
10 839.5256  MSE 26005.3975, SSIM 0.0027
20 839.3943  MSE 26354.1748, SSIM 0.0063
30 839.3943  MSE 26354.3057, SSIM 0.0063
40 839.3943  MSE 26353.9746, SSIM 0.0063
50 839.3943  MSE 26353.9746, SSIM 0.0063
60 839.3943  MSE 26354.0205, SSIM 0.0063
70 839.3943  MSE 26354.0205, SSIM 0.0063
80 839.3943  MSE 26354.0205, SSIM 0.0063
90 839.3943  MSE 26354.0205, SSIM 0.0063
100 839.3943  MSE 26354.0205, SSIM 0.0063
110 839.3943  MSE 26354.2891, SSIM 0.0063
120 839.3943  MSE 26354.2891, SSIM 0.0063
130 839.3943  MSE 26354.2891, SSIM 0.0063
140 839.3943  MSE 26354.2891, SSIM 0.0063
150 839.3943  MSE 26354.3652, SSIM 0.0063
160 839.3943  MSE 26354.3652, SSIM 0.0063
170 839.3943  MSE 26354.3652, SSIM 0.0063
180 839.3943  MSE 26354.3652, SSIM 0.0063
190 839.3943  MSE 26354.3652, SSIM 0.0063
0 40.2643  MSE 41867.2607, SSIM -0.0017
10 4.2894  MSE 43011.3936, SSIM -0.0020
20 1.8314  MSE 42038.7168, SSIM 0.0023
30 0.9294  MSE 43490.7803, SSIM 0.0067
40 0.4137  MSE 43062.7578, SSIM -0.0025
50 0.1906  MSE 41448.4912, SSIM 0.0056
60 0.0691  MSE 41056.4678, SSIM 0.0417
70 0.0299  MSE 40338.8760, SSIM 0.0710
80 0.0139  MSE 38548.6934, SSIM 0.1279
90 0.0066  MSE 36524.9297, SSIM 0.1899
100 0.0031  MSE 35286.2051, SSIM 0.2632
110 0.0016  MSE 33259.9238, SSIM 0.3245
120 0.0009  MSE 31023.0107, SSIM 0.3744
130 0.0005  MSE 29348.4961, SSIM 0.4561
140 0.0003  MSE 28813.4385, SSIM 0.4769
150 0.0002  MSE 25405.8818, SSIM 0.5158
160 0.0001  MSE 23433.7158, SSIM 0.5405
170 0.0001  MSE 19650.1855, SSIM 0.5840
180 0.0000  MSE 16389.3018, SSIM 0.6203
190 0.0000  MSE 13616.4727, SSIM 0.6456
0 207.4818  MSE 42015.6885, SSIM -0.0029
10 150.5741  MSE 41561.8057, SSIM 0.0190
20 145.5849  MSE 40884.3545, SSIM -0.0127
30 144.0113  MSE 41903.7988, SSIM 0.0035
40 143.2799  MSE 42124.6289, SSIM -0.0023
50 142.7726  MSE 42365.2041, SSIM 0.0126
60 142.3144  MSE 44480.5684, SSIM -0.0013
70 141.9930  MSE 43126.1572, SSIM 0.0090
80 141.7166  MSE 41378.2109, SSIM 0.0110
90 141.4807  MSE 42580.0771, SSIM 0.0144
100 141.3029  MSE 41507.3184, SSIM 0.0221
110 141.1362  MSE 41689.5088, SSIM 0.0099
120 140.9971  MSE 41164.4297, SSIM 0.0195
130 140.8765  MSE 43188.9824, SSIM 0.0034
140 140.7732  MSE 41356.8740, SSIM 0.0009
150 140.6784  MSE 43589.8057, SSIM 0.0030
160 140.5546  MSE 43498.7754, SSIM -0.0167
170 140.4706  MSE 42133.6494, SSIM -0.0041
180 140.4020  MSE 42703.1045, SSIM 0.0039
190 140.3454  MSE 42038.8389, SSIM 0.0125
0 64.3679  MSE 21913.0635, SSIM 0.0389
10 5.4297  MSE 22465.7783, SSIM 0.0118
20 2.6309  MSE 21128.2861, SSIM 0.0323
30 1.4597  MSE 22138.3291, SSIM 0.0133
40 0.7533  MSE 23256.6680, SSIM 0.0039
50 0.3787  MSE 22434.2412, SSIM 0.0145
60 0.1791  MSE 21368.1973, SSIM 0.0271
70 0.0814  MSE 19229.3350, SSIM 0.0560
80 0.0407  MSE 15606.7568, SSIM 0.1040
90 0.0193  MSE 12008.7314, SSIM 0.1989
100 0.0101  MSE 8854.8408, SSIM 0.2919
110 0.0058  MSE 6719.8174, SSIM 0.3785
120 0.0036  MSE 5105.7207, SSIM 0.4701
130 0.0022  MSE 3755.4883, SSIM 0.5561
140 0.0014  MSE 2718.1914, SSIM 0.6444
150 0.0009  MSE 2075.9551, SSIM 0.7057
160 0.0006  MSE 1550.4766, SSIM 0.7608
170 0.0004  MSE 1236.6914, SSIM 0.8052
180 0.0003  MSE 1039.2061, SSIM 0.8323
190 0.0002  MSE 771.0117, SSIM 0.8593
0 551.8037  MSE 22791.8477, SSIM -0.0135
10 462.9559  MSE 22868.3574, SSIM 0.0109
20 462.9559  MSE 22868.3574, SSIM 0.0109
30 462.9559  MSE 22868.3574, SSIM 0.0109
40 462.9559  MSE 22868.3574, SSIM 0.0109
50 462.9559  MSE 22868.3574, SSIM 0.0109
60 462.9559  MSE 22868.3574, SSIM 0.0109
70 462.9559  MSE 22868.3574, SSIM 0.0109
80 462.9559  MSE 22868.3574, SSIM 0.0109
90 462.9559  MSE 22868.3574, SSIM 0.0109
100 462.9559  MSE 22868.3574, SSIM 0.0109
110 462.9559  MSE 22868.3574, SSIM 0.0109
120 462.9559  MSE 22868.3574, SSIM 0.0109
130 462.9559  MSE 22868.3574, SSIM 0.0109
140 462.9559  MSE 22868.3574, SSIM 0.0109
150 462.9559  MSE 22868.3574, SSIM 0.0109
160 462.9559  MSE 22868.3574, SSIM 0.0109
170 462.9559  MSE 22868.3574, SSIM 0.0109
180 462.9559  MSE 22868.3574, SSIM 0.0109
190 462.9559  MSE 22868.3574, SSIM 0.0109
0 21.4655  MSE 23615.7295, SSIM 0.0028
10 134.0996  MSE 23962.6201, SSIM 0.0043
20 112.5169  MSE 23902.8271, SSIM 0.0148
30 100.4052  MSE 23891.8711, SSIM 0.0020
40 91.9014  MSE 23828.9521, SSIM 0.0169
50 85.9442  MSE 24287.9941, SSIM 0.0087
60 80.6358  MSE 23788.2021, SSIM 0.0059
70 77.3834  MSE 24686.1709, SSIM -0.0024
80 75.2031  MSE 24364.7041, SSIM 0.0161
90 393.4971  MSE 24069.6562, SSIM 0.0106
100 393.4971  MSE 24069.6562, SSIM 0.0106
110 393.4971  MSE 24069.6562, SSIM 0.0106
120 393.4971  MSE 24069.6562, SSIM 0.0106
130 393.4971  MSE 24069.6562, SSIM 0.0106
140 393.4971  MSE 24069.6562, SSIM 0.0106
150 393.4971  MSE 24069.6562, SSIM 0.0106
160 393.4971  MSE 24069.6562, SSIM 0.0106
170 393.4971  MSE 24069.6562, SSIM 0.0106
180 393.4971  MSE 24069.6562, SSIM 0.0106
190 393.4971  MSE 24069.6562, SSIM 0.0106
0 179.3874  MSE 23584.4990, SSIM 0.0319
10 155.7671  MSE 23960.4238, SSIM 0.0163
20 152.8108  MSE 24469.2852, SSIM 0.0155
30 152.2139  MSE 23989.9951, SSIM 0.0015
40 151.7951  MSE 24355.9492, SSIM 0.0111
50 151.3717  MSE 24129.8740, SSIM 0.0134
60 151.0785  MSE 24082.0400, SSIM 0.0025
70 150.7657  MSE 24852.9365, SSIM -0.0135
80 150.4679  MSE 24933.9238, SSIM -0.0011
90 150.2220  MSE 24671.1396, SSIM -0.0017
100 150.0274  MSE 25025.9580, SSIM 0.0007
110 149.8032  MSE 24268.2939, SSIM 0.0078
120 149.6150  MSE 24728.8037, SSIM -0.0110
130 149.4437  MSE 24501.7109, SSIM 0.0228
140 149.2810  MSE 24293.9072, SSIM 0.0050
150 149.1391  MSE 23445.3447, SSIM 0.0267
160 149.0313  MSE 24551.1221, SSIM 0.0164
170 148.9322  MSE 24334.9141, SSIM 0.0075
180 148.8564  MSE 24412.2734, SSIM 0.0053
190 148.7508  MSE 24984.9219, SSIM 0.0060
0 111.5161  MSE 30602.3730, SSIM -0.0058
10 7.4014  MSE 28819.8271, SSIM 0.0231
20 2.8514  MSE 30235.3701, SSIM 0.0065
30 1.2080  MSE 29659.1377, SSIM 0.0071
40 0.4215  MSE 28999.2344, SSIM 0.0275
50 0.1526  MSE 26454.0156, SSIM 0.0335
60 0.0588  MSE 23581.2988, SSIM 0.0945
70 0.0253  MSE 19533.1250, SSIM 0.1795
80 0.0107  MSE 14896.6348, SSIM 0.3044
90 0.0049  MSE 11429.6143, SSIM 0.4526
100 0.0026  MSE 8673.0439, SSIM 0.5474
110 0.0014  MSE 6042.5078, SSIM 0.6804
120 0.0008  MSE 4241.0293, SSIM 0.7841
130 0.0004  MSE 2881.5059, SSIM 0.8494
140 0.0003  MSE 1916.8037, SSIM 0.9027
150 0.0002  MSE 1236.5771, SSIM 0.9456
160 0.0001  MSE 602.9531, SSIM 0.9720
170 0.0001  MSE 415.3721, SSIM 0.9799
180 0.0000  MSE 224.1084, SSIM 0.9887
190 0.0000  MSE 159.9951, SSIM 0.9932
0 629.2278  MSE 28466.6338, SSIM 0.0239
10 1686.9749  MSE 29215.9385, SSIM 0.0273
20 1686.9749  MSE 29215.9385, SSIM 0.0273
30 1686.9749  MSE 29215.9385, SSIM 0.0273
40 1686.9749  MSE 29215.9385, SSIM 0.0273
50 1686.9749  MSE 29215.9385, SSIM 0.0273
60 1686.9749  MSE 29215.9385, SSIM 0.0273
70 1686.9749  MSE 29215.9385, SSIM 0.0273
80 1686.9749  MSE 29215.9385, SSIM 0.0273
90 1686.9749  MSE 29215.9385, SSIM 0.0273
100 1686.9749  MSE 29215.9385, SSIM 0.0273
110 1686.9749  MSE 29215.9385, SSIM 0.0273
120 1686.9749  MSE 29215.9385, SSIM 0.0273
130 1686.9749  MSE 29215.9385, SSIM 0.0273
140 1686.9749  MSE 29215.9385, SSIM 0.0273
150 1686.9749  MSE 29215.9385, SSIM 0.0273
160 1686.9749  MSE 29215.9385, SSIM 0.0273
170 1686.9749  MSE 29215.9385, SSIM 0.0273
180 1686.9749  MSE 29215.9385, SSIM 0.0273
190 1686.9749  MSE 29215.9385, SSIM 0.0273
0 92.4724  MSE 23971.3037, SSIM -0.0104
10 81.2796  MSE 22880.9854, SSIM 0.0339
20 796.2568  MSE 23100.7080, SSIM 0.0139
30 796.2568  MSE 23100.7080, SSIM 0.0139
40 796.2568  MSE 23100.7080, SSIM 0.0139
50 796.2568  MSE 23100.7080, SSIM 0.0139
60 796.2568  MSE 23100.7080, SSIM 0.0139
70 796.2568  MSE 23100.7080, SSIM 0.0139
80 796.2568  MSE 23100.7080, SSIM 0.0139
90 796.2568  MSE 23100.7080, SSIM 0.0139
100 796.2568  MSE 23100.7080, SSIM 0.0139
110 796.2568  MSE 23100.7080, SSIM 0.0139
120 796.2568  MSE 23100.7080, SSIM 0.0139
130 796.2568  MSE 23100.7080, SSIM 0.0139
140 796.2568  MSE 23100.7080, SSIM 0.0139
150 796.2568  MSE 23100.7080, SSIM 0.0139
160 796.2568  MSE 23100.7080, SSIM 0.0139
170 796.2568  MSE 23100.7080, SSIM 0.0139
180 796.2568  MSE 23100.7080, SSIM 0.0139
190 796.2568  MSE 23100.7080, SSIM 0.0139
0 222.0529  MSE 23630.1777, SSIM 0.0172
10 157.1545  MSE 22830.1885, SSIM 0.0102
20 153.4850  MSE 23742.7852, SSIM 0.0070
30 151.5594  MSE 24317.0303, SSIM -0.0143
40 150.4431  MSE 23532.8174, SSIM 0.0122
50 149.6588  MSE 23106.4688, SSIM 0.0196
60 149.0318  MSE 23885.8516, SSIM 0.0201
70 148.4590  MSE 22980.1699, SSIM 0.0153
80 148.0465  MSE 23287.1582, SSIM 0.0196
90 147.7432  MSE 23343.7451, SSIM 0.0160
100 147.4851  MSE 23178.2783, SSIM 0.0096
110 147.1951  MSE 23786.3516, SSIM 0.0029
120 146.9521  MSE 22852.8809, SSIM 0.0395
130 146.7123  MSE 23030.5400, SSIM 0.0396
140 146.4911  MSE 23284.1660, SSIM -0.0043
150 146.3063  MSE 23668.1172, SSIM 0.0065
160 146.1019  MSE 23124.0732, SSIM 0.0135
170 145.8614  MSE 23227.8037, SSIM 0.0030
180 145.6065  MSE 23750.6035, SSIM 0.0101
190 145.4407  MSE 23738.3926, SSIM 0.0123
0 482.2700  MSE 24631.0303, SSIM 0.0125
10 338.8999  MSE 23694.0830, SSIM 0.0141
20 316.4246  MSE 24138.0117, SSIM -0.0036
30 308.2003  MSE 23200.5469, SSIM 0.0171
40 303.7101  MSE 23662.0234, SSIM 0.0180
50 299.9061  MSE 24330.4717, SSIM -0.0096
60 296.3049  MSE 24083.0420, SSIM -0.0067
70 291.7602  MSE 23648.4375, SSIM 0.0052
80 287.4980  MSE 23968.1025, SSIM 0.0101
90 285.2161  MSE 23714.2773, SSIM 0.0058
100 282.7163  MSE 24559.7490, SSIM -0.0144
110 281.1037  MSE 23303.3584, SSIM 0.0097
120 280.0044  MSE 24554.4229, SSIM -0.0337
130 279.0778  MSE 24512.5459, SSIM -0.0129
140 278.4140  MSE 24562.5469, SSIM 0.0053
150 277.8445  MSE 23814.1875, SSIM -0.0059
160 277.2351  MSE 24016.8086, SSIM -0.0013
170 276.7143  MSE 23374.4424, SSIM 0.0296
180 276.2953  MSE 24108.6104, SSIM -0.0117
190 275.9416  MSE 24190.1602, SSIM 0.0042
0 464.7081  MSE 23716.1318, SSIM 0.0133
10 233.8924  MSE 23748.0186, SSIM 0.0112
20 201.1061  MSE 23479.0684, SSIM 0.0396
30 175.6762  MSE 24135.4160, SSIM 0.0160
40 168.1393  MSE 24348.8555, SSIM 0.0042
50 164.3468  MSE 23829.9014, SSIM 0.0061
60 161.7455  MSE 24340.4990, SSIM 0.0082
70 159.7100  MSE 23849.3496, SSIM 0.0180
80 158.2191  MSE 23771.8125, SSIM 0.0269
90 157.0836  MSE 24452.5576, SSIM 0.0072
100 156.2652  MSE 23328.5635, SSIM 0.0189
110 155.6431  MSE 24289.3438, SSIM 0.0127
120 155.1538  MSE 23418.7920, SSIM 0.0076
130 154.7807  MSE 23749.3418, SSIM 0.0002
140 154.4704  MSE 23583.0771, SSIM 0.0018
150 154.1759  MSE 23885.0049, SSIM 0.0295
160 153.8350  MSE 23856.4766, SSIM -0.0035
170 153.5322  MSE 23938.7412, SSIM 0.0055
180 153.2165  MSE 23923.7607, SSIM 0.0149
190 152.8369  MSE 23599.4678, SSIM 0.0252
0 129.3762  MSE 23384.2725, SSIM -0.0016
10 30.2678  MSE 23261.9043, SSIM 0.0097
20 14.0081  MSE 23499.3789, SSIM 0.0005
30 8.2880  MSE 23059.8564, SSIM 0.0229
40 6.0789  MSE 22918.4082, SSIM 0.0165
50 5.0117  MSE 24321.2529, SSIM 0.0082
60 4.3850  MSE 22726.2451, SSIM 0.0071
70 3.7972  MSE 23447.2148, SSIM 0.0114
80 3.3747  MSE 23989.1191, SSIM -0.0022
90 2.9948  MSE 23399.0088, SSIM 0.0086
100 2.7142  MSE 23118.9072, SSIM 0.0056
110 2.5294  MSE 22963.0225, SSIM 0.0090
120 2.4095  MSE 22522.7568, SSIM 0.0197
130 2.3114  MSE 23236.5039, SSIM 0.0133
140 2.1923  MSE 22701.0869, SSIM 0.0165
150 2.0994  MSE 22732.2500, SSIM 0.0090
160 2.0218  MSE 23498.6484, SSIM -0.0135
170 1.9612  MSE 22979.4961, SSIM 0.0011
180 1.9099  MSE 22853.3486, SSIM 0.0097
190 1.8644  MSE 22867.1045, SSIM 0.0151
0 266.6106  MSE 23118.3301, SSIM 0.0045
10 174.2595  MSE 22804.6035, SSIM 0.0085
20 170.3092  MSE 24103.6562, SSIM 0.0007
30 168.1553  MSE 23182.4473, SSIM 0.0009
40 166.6640  MSE 23463.1221, SSIM 0.0142
50 165.0998  MSE 22582.6543, SSIM 0.0118
60 163.7775  MSE 22711.5996, SSIM 0.0214
70 162.8454  MSE 23327.4453, SSIM 0.0081
80 161.9435  MSE 22797.4160, SSIM 0.0161
90 160.9389  MSE 23320.4766, SSIM 0.0123
100 160.1335  MSE 22847.2891, SSIM -0.0057
110 159.3024  MSE 23621.1367, SSIM -0.0030
120 158.6463  MSE 23534.1016, SSIM -0.0034
130 158.0772  MSE 23398.8203, SSIM 0.0035
140 157.5017  MSE 23255.1309, SSIM 0.0029
150 156.9541  MSE 23248.1787, SSIM 0.0111
160 156.3453  MSE 24205.9570, SSIM -0.0022
170 155.8490  MSE 21779.6221, SSIM 0.0121
180 155.5013  MSE 23556.0547, SSIM -0.0019
190 155.2047  MSE 22905.2100, SSIM 0.0118
0 116.3626  MSE 24608.7607, SSIM 0.0111
10 21.9592  MSE 25741.1055, SSIM 0.0235
20 11.1429  MSE 25766.3125, SSIM 0.0175
30 5.6739  MSE 25253.4248, SSIM 0.0014
40 2.6304  MSE 26077.0322, SSIM -0.0127
50 1.2006  MSE 25687.7363, SSIM -0.0058
60 0.5716  MSE 25125.9971, SSIM 0.0135
70 0.2917  MSE 24984.5049, SSIM 0.0298
80 0.1462  MSE 25374.0117, SSIM 0.0233
90 0.0801  MSE 24192.6562, SSIM 0.0451
100 0.0470  MSE 23231.0381, SSIM 0.0787
110 0.0319  MSE 22537.2900, SSIM 0.0879
120 0.0223  MSE 21416.1396, SSIM 0.1071
130 0.0148  MSE 20799.7373, SSIM 0.1134
140 0.0098  MSE 19817.2559, SSIM 0.1321
150 0.0077  MSE 18834.9561, SSIM 0.1678
160 0.0049  MSE 17445.4258, SSIM 0.2012
170 0.0037  MSE 16330.4404, SSIM 0.2235
180 0.0028  MSE 14929.6582, SSIM 0.2678
190 0.0023  MSE 13350.7803, SSIM 0.3109
0 278.9447  MSE 25335.6855, SSIM -0.0070
10 173.6434  MSE 26380.2754, SSIM 0.0064
20 164.2920  MSE 25337.4092, SSIM 0.0288
30 158.9147  MSE 25672.5049, SSIM 0.0023
40 155.2755  MSE 25133.9707, SSIM -0.0017
50 152.5045  MSE 25667.3662, SSIM -0.0050
60 150.6036  MSE 25732.6768, SSIM 0.0238
70 149.1845  MSE 24766.1543, SSIM 0.0438
80 148.3127  MSE 24817.5068, SSIM 0.0093
90 147.7308  MSE 24896.6650, SSIM 0.0262
100 147.2569  MSE 26177.7627, SSIM 0.0058
110 146.8647  MSE 24214.2188, SSIM 0.0240
120 146.5291  MSE 26092.2383, SSIM -0.0103
130 146.2604  MSE 26462.1357, SSIM -0.0154
140 146.0086  MSE 25627.2197, SSIM -0.0131
150 145.7319  MSE 25777.7578, SSIM -0.0003
160 145.4757  MSE 25902.3486, SSIM -0.0004
170 145.2475  MSE 25547.2686, SSIM -0.0047
180 145.0572  MSE 26623.6484, SSIM -0.0168
190 144.8618  MSE 26498.7314, SSIM -0.0107
0 50.9744  MSE 26365.2461, SSIM 0.0084
10 31.4547  MSE 25829.2744, SSIM 0.0101
20 395.5653  MSE 25780.0547, SSIM 0.0166
30 395.5653  MSE 25780.0547, SSIM 0.0166
40 395.5653  MSE 25780.0547, SSIM 0.0166
50 395.5653  MSE 25780.0547, SSIM 0.0166
60 395.5653  MSE 25780.0547, SSIM 0.0166
70 395.5653  MSE 25780.0547, SSIM 0.0166
80 395.5653  MSE 25780.0547, SSIM 0.0166
90 395.5653  MSE 25780.0547, SSIM 0.0166
100 395.5653  MSE 25780.0547, SSIM 0.0166
110 395.5653  MSE 25780.0547, SSIM 0.0166
120 395.5653  MSE 25780.0547, SSIM 0.0166
130 395.5653  MSE 25780.0547, SSIM 0.0166
140 395.5653  MSE 25780.0547, SSIM 0.0166
150 395.5653  MSE 25780.0547, SSIM 0.0166
160 395.5653  MSE 25780.0547, SSIM 0.0166
170 395.5653  MSE 25780.0547, SSIM 0.0166
180 395.5653  MSE 25780.0547, SSIM 0.0166
190 395.5653  MSE 25780.0547, SSIM 0.0166
0 188.9475  MSE 25420.0244, SSIM 0.0233
10 152.0680  MSE 25327.9053, SSIM 0.0113
20 149.5304  MSE 26041.1865, SSIM 0.0026
30 148.3852  MSE 27032.1543, SSIM -0.0081
40 147.6294  MSE 26198.1025, SSIM 0.0097
50 147.0488  MSE 25794.9004, SSIM -0.0112
60 146.5465  MSE 24968.6719, SSIM 0.0111
70 146.0994  MSE 26542.7998, SSIM -0.0097
80 145.7901  MSE 26236.0010, SSIM 0.0161
90 145.5121  MSE 24904.8262, SSIM 0.0063
100 145.2996  MSE 25789.6328, SSIM 0.0067
110 145.0925  MSE 26526.4805, SSIM -0.0005
